"show_id","tema_id"
"81145628","1"
"81145628","2"
"80117401","3"
"70234439","4"
"80058654","4"
"80125979","2"
"80163890","5"
"80163890","6"
"80163890","7"
"70304989","8"
"70304989","9"
"70304989","10"
"80164077","3"
"80117902","11"
"80117902","12"
"70304990","13"
"70304990","10"
"80169755","3"
"70299204","13"
"70299204","14"
"70299204","8"
"80182480","1"
"80182483","1"
"80182596","1"
"80182482","1"
"80182597","1"
"80182481","1"
"80182621","1"
"80057969","15"
"80057969","14"
"80057969","16"
"80060297","2"
"80060297","16"
"80060297","17"
"80046728","13"
"80046728","2"
"80046728","8"
"80046727","18"
"70304988","19"
"70304988","10"
"80057700","14"
"80057700","16"
"80045922","14"
"80045922","16"
"80045922","17"
"80244601","6"
"80244601","20"
"80244601","21"
"80203094","18"
"80190843","11"
"70241607","19"
"70241607","8"
"80988892","1"
"80988892","2"
"80988892","9"
"80239639","2"
"80239639","17"
"80159586","14"
"80159586","8"
"80159586","10"
"80152447","14"
"80152447","16"
"80152447","8"
"80221550","4"
"80221550","21"
"81154455","14"
"81154455","8"
"81154455","10"
"81113928","2"
"81113928","14"
"81113928","16"
"81052275","2"
"81052275","8"
"80178151","6"
"80178151","22"
"80178151","23"
"80058026","13"
"80058026","2"
"80058026","16"
"70303496","2"
"70303496","14"
"70303496","8"
"80162141","14"
"80162141","16"
"80095641","18"
"81176188","18"
"80159880","2"
"80159880","8"
"80159880","17"
"81016044","2"
"81016044","8"
"81016044","17"
"80158838","2"
"80158838","8"
"80158838","17"
"81016045","14"
"81016045","8"
"81016045","17"
"70142798","19"
"70142798","8"
"70062814","19"
"70062814","8"
"80158839","2"
"80158839","8"
"80147760","2"
"80147760","14"
"80177405","3"
"80113482","20"
"80113482","21"
"80113482","22"
"81160036","14"
"81160036","16"
"81160036","8"
"81173255","19"
"81078908","14"
"81078908","17"
"81155784","2"
"81155784","14"
"81155784","8"
"80201906","13"
"80201906","9"
"80052612","2"
"80052612","8"
"80052612","17"
"80113641","5"
"80113641","22"
"80113641","24"
"81054495","3"
"80996949","21"
"80239337","4"
"70212504","1"
"70212504","14"
"81011682","11"
"80128317","11"
"81027384","11"
"80030186","11"
"80116921","4"
"80116921","21"
"80187061","14"
"80187061","8"
"80181555","25"
"80181555","11"
