"show_id","direct_id"
"81145628","1"
"81145628","2"
"80125979","3"
"80164077","4"
"80164077","5"
"70304990","6"
"70299204","7"
"80182483","8"
"80182483","9"
"80182596","8"
"80182596","9"
"80182482","9"
"80182597","9"
"80182621","8"
"80182621","9"
"80060297","10"
"80046728","11"
"80046727","12"
"70304988","13"
"80057700","14"
"80045922","15"
"80203094","16"
"70241607","17"
"80988892","18"
"80988892","19"
"80239639","20"
"80152447","21"
"81154455","22"
"81113928","23"
"81052275","24"
"80058026","25"
"80058026","26"
"70303496","27"
"80162141","28"
"80162141","29"
"80095641","30"
"80159880","31"
"81016044","32"
"80158838","31"
"81016045","33"
"70142798","33"
"70142798","34"
"70142798","35"
"70142798","36"
"70142798","37"
"70062814","33"
"70062814","36"
"80158839","38"
"80147760","39"
"80177405","40"
"81160036","41"
"81173255","42"
"81078908","43"
"81155784","44"
"80201906","45"
"80052612","46"
"81054495","47"
"70212504","48"
"80187061","49"
"80081155","50"
"80081155","51"
"80198585","52"
"81011955","53"
"80128722","54"
"80182115","55"
"80104068","56"
"80119349","57"
"80019931","58"
"81053893","59"
"80200087","60"
"81053892","59"
"81002850","61"
"81004470","62"
"80157072","63"
"81001809","64"
"81002864","65"
"81016750","66"
"81002866","67"
"80992039","68"
"80126507","69"
"80231903","70"
"81171121","71"
"81171121","72"
"81171121","73"
"81171121","74"
"81171121","75"
"81171121","76"
"81171121","77"
"81171121","78"
"81171121","79"
"81171121","80"
"81012295","81"
"80060037","82"
"60003155","83"
"60003155","84"
"81177238","85"
"70270775","86"
"80215923","87"
"80151483","88"
"80173625","89"
"80173625","90"
"80005444","91"
"80005444","92"
"80244682","93"
"81075519","94"
"80166318","95"
"81186758","96"
"81186757","96"
"80108976","97"
"80208155","98"
"80198423","99"
"80162144","100"
"81053953","101"
"81074113","102"
"80992496","103"
"70304191","104"
"81176200","105"
"80208906","106"
"80097321","107"
"80097321","108"
"80106966","109"
"81080769","110"
"70267838","111"
"80211380","112"
"80196586","113"
"80099204","114"
"80059432","115"
"81172721","116"
"81172727","117"
"70153543","118"
"81172728","119"
"80102952","120"
"80102952","121"
"80243600","122"
"81020523","123"
"81122669","124"
"81000389","125"
"81000389","126"
"80150502","127"
"80119815","128"
"80119815","129"
"80993149","130"
