"show_id","pais_id"
"81145628","1"
"81145628","2"
"81145628","3"
"81145628","4"
"80117401","5"
"70234439","1"
"80058654","1"
"80125979","1"
"80163890","6"
"70304989","7"
"70304989","1"
"70304989","6"
"70304989","8"
"80164077","9"
"80117902","1"
"70304990","1"
"70304990","5"
"70304990","10"
"70304990","11"
"70299204","12"
"70299204","13"
"70299204","5"
"70299204","1"
"80057969","14"
"80057969","13"
"80060297","1"
"80046728","14"
"80046728","13"
"80046727","1"
"80046727","15"
"70304988","1"
"80057700","1"
"80045922","1"
"80203094","1"
"70241607","16"
"80988892","4"
"80988892","8"
"80988892","1"
"80239639","1"
"80159586","13"
"80159586","5"
"80159586","1"
"80152447","13"
"80152447","14"
"81154455","2"
"81052275","2"
"81132437","14"
"80178151","1"
"80058026","2"
"70303496","5"
"80162141","5"
"81176188","1"
"81176188","8"
"80159880","16"
"81016044","16"
"80158838","16"
"81016045","16"
"70142798","16"
"70062814","16"
"80158839","1"
"80147760","1"
"80177405","1"
"80113482","17"
"81160036","8"
"81173255","1"
"81078908","2"
"81155784","1"
"80201906","5"
"80201906","14"
"80052612","1"
"80113641","5"
"81054495","1"
"80996949","1"
"80239337","1"
"80239337","5"
"70212504","1"
"81011682","1"
"80128317","1"
"81027384","1"
"80030186","1"
"80116921","3"
"80187061","5"
"80181555","10"
"80181555","1"
"80184358","5"
"80184358","1"
"80198585","18"
"70233894","1"
"81011955","1"
"80182115","1"
"80104068","5"
"80199032","1"
"80019931","10"
"80019931","14"
"80019931","19"
"80019931","13"
"80019931","12"
"80200087","20"
"81053892","4"
"81002850","1"
"81004470","1"
"80157072","1"
"81001809","20"
"80201933","20"
"81002864","20"
"81016750","6"
"81002866","21"
"81002866","5"
"80992039","2"
"80126507","22"
"81132443","1"
"80231903","1"
"80220715","1"
"81171121","23"
"80241248","14"
"80241248","24"
"81012295","1"
"80060037","2"
"60003155","23"
"60003155","4"
"81177238","25"
"70270775","1"
"81025403","1"
"80215923","1"
"80151483","1"
"80173625","1"
"80173625","25"
"80005444","26"
"80244682","14"
"80244682","8"
"81075519","2"
"80166318","2"
"81186758","1"
"81186757","1"
"80108976","1"
"80208155","5"
"80198423","1"
"80162144","1"
"81053953","4"
"81074113","8"
"80992496","6"
"80992496","27"
